Wallet,Total Profit,Total PnL,Buys,Sells,Buy,Sell
12VFrc1dFynPzs4HBRdRoMKNm1jca2S2uhaNKCkdffwy,14282.32235020261,0.2846650239893548,288,224,50172.382086310354,-45333.6716699405
AkVmLCLFNV9ChhUP1iEVo1E9nqJtJLRvuJJjAwirrxe6,10153.239940826035,11.496680649463649,15,131,883.1453399812156,-11036.38528036162
BefzU8EJb3CHgJiW7miqyjzRAPQkGFBCeedii7Q9mHSF,8522.793553165042,30.916741079763224,3,20,275.66920883338827,-8675.667328972157
BLUEzjbiu1BN1HfFCugHN2RErnp7JjLwdmvgms2HrxbG,7287.3540746671915,9.890008786886328,7,5,736.8400000139403,-7673.687313192009
CauhKTBuFgsSgazkaWzZwBuwVxYPATf7aXPZpR8LhcJL,6101.788702914989,0.8306092848321996,1,16,7346.159998858762,-13447.94870257067
DbetSqQthchu3o1mwK8PSahQsa1Vh3znQh6Z9SuJ6xQM,5676.573364595587,5.037116735566781,3,2,1126.9489397602483,-6803.5223041976615
Fti9R6ABEQrZMJ3KDwjMgiA6Z4czFZAsS1xsBuAhpLwk,4909.569107079017,4.27019309430678,4,9,1149.730000178372,-5592.265207447376
FQLWpUPJW8sJfDSm1wjSG1EkczwQJcDqRVAPcphUg2Hf,4229.471150909453,3.5957059989492923,1,3,1176.2561099670982,-5405.727260876551
2AWhN8H9fodhcWbgNHatXwbErMkUGUV2oWcQN5X6yc5R,4161.33157119118,1.7028710214320175,6,6,2443.715066389313,-6605.046637506085
3mLqAYAuCBDVXxQvMEc2jqkXfFHJRqe5FHfCoJ3SnFfw,825.524565733187,0.06574891939638765,14,6,12555.713056761548,-8763.16684611481
4xZfr6jDHCHsnxC93vaEuSvFJcYapeGbnSWHN1je8tBt,3879.670099443185,3.6755192627511595,1,5,1055.5434000199516,-4935.213499463137
8h5b26mFAj82NhttvrWKD4my61xYfUWJ7YnwJ9pCBLCu,3814.1974874569714,12.233225849232113,1,7,311.78999999386025,-4125.987487440718
66gGMccVDXeNzrDrckNmN3LhPBk9Pr3sFYPyQzrxRYbu,4493.585547968366,14.181611907569534,1,4,316.85999992496505,-3826.9131561698523
Dmj16q8TLTeCjNNG46sheNGeUB3vZbJasjV4jVr94JRx,3487.9953037514833,10.741174243585471,3,7,324.7312839966712,-3812.7265879974134
CmPdiF75EvbkzP4JNwCYbx5sNZatidNnTPpS3853HdH7,3277.472037010707,0.7754026773764391,12,12,4226.800000355911,-7504.272036793803
14ayEtZZkcU4swHT712qMzwypM9jLTSSjeNW1aoZhaPT,3229.460321895495,7.774713087607778,4,12,415.3799999440463,-3644.840321909085
EWkGyhD7XEgzJsutnTmN6qCobBBhMuDukaGXUmMhjM7f,3671.912773079217,1.1738476305632997,2,5,3128.0999999268724,-4919.013290173994
9BUF96JLssQdTMTNm8NWa7Bmbz3d9C5g96XXisNQnupN,2953.1800919548486,3.1345781280254785,3,10,942.1300000632316,-3444.9034777897728
GW1JcA1KdXTonp2s4uF3VaMgPkVMpzk5U35oMsUdeR7B,2987.2146360061984,11.497246695823014,2,7,259.81999995629064,-3247.0346363735116
58B1ms8PvfUWMJeWXhrBArqLQzmP2TRRwfiSuhyByGDn,2814.8746904081972,3.705214844973623,3,7,759.7062000943797,-3574.580890481021
A73unoJqKuLqfJCHqjvS7SccneuzY8FoXq47x2UwoCKe,2661.669165124666,1.379736586232172,1,3,1929.1140002261125,-4590.783165224351
CWdLRUXymDVzXiEGTiX4njmFaCWZLzDPX2UPBZfTkvhL,2632.0172732897963,8.411688313489533,1,4,312.8999999998718,-2944.9172738182324
FCsT5DZz7vQEnjJ15JJFgDKrjHBK8Edp9hP9SkGy9Tjr,2598.464406352236,8.008637273240572,1,3,324.4577470170287,-2922.9221533692644
G6v1KDziCpdspMHFrG3q3VGdhCmwmywBTzM4UktmFXvH,2591.4300444335204,1.5526098477788786,2,3,1669.079999808548,-4260.510045315414
DiUft8PyRvQ6Tnd218V9vWuCtmJNvcG97Z7XGPQTffif,2597.0694034953694,3.4893714781991028,3,5,744.279999914409,-2796.217422239058
HtucFepgUkMpHdrYsxMqjBNN6qVBdjmFaLZneNXopuJm,2583.6191784707744,2.7706033584071275,1,5,932.5113862404853,-3516.1305645778466
2GntFHjNwdhvmySAoYEk2UYPSi3DM5ZtaLnHGmsEqnRP,2497.9800060218718,3.4343173520337333,1,11,727.3585257176709,-3225.338531713093
HJFRbPNmJXAx6uK6nXGYe6G9kzgKpytftcZejs1inQEt,2468.569165452774,0.19015990290090182,34,44,12981.544099437311,-15450.11326577255
4j5Ts8tDTTM5Z2zu4U4QVKDrd8qcVuww7UgMHJcrAj9h,2468.201061940529,4.096939266459614,2,3,602.4500002103849,-3070.651062119212
3KNCdquQuPBq6ZWChRJr8jGpkoyZ5LurLCt6sNJJMxbq,2451.3978019975716,1.4879590260328757,2,5,1647.4901251369602,-4098.887927267989
DT5rBbuM1oKJkCHt7Rkvqag3R8pnAnkffmAtWvf69f6y,6344.282070907702,5.244898826829182,4,3,1209.6100001881553,-2699.0213542440756
9NdH8qH5zRm8ACyiQyCWUPGoXWG3kxNXChP8a42ge4vk,2216.5972919836913,2.275486892791482,4,5,974.1199999901792,-3190.7172919738705
DXwMg9jXh87XpSbfsEm1fhk7hemSRmV8vNoD5So2J4B3,2213.553340818916,2.8056643321262213,2,6,788.9587202120558,-3002.512060842031
