Wallet,Total Profit,Total PnL,Buys,Sells,Buy,Sell
8NmfQfvftxdMGYTK9mN8h4ckhfXio18V1JnBaJDEC31N,164457.5142860031,1.586667269684806,16,11,103649.65448532435,-268070.37237875565
GPM6sXpheYztmsixAF7hPtun3JHkkCxsXoGp3JatmoGH,96838.74509894777,4.456021014788304,6,14,21732.111401083323,-118570.85651965215
7X2CV922hzEuHFRAJbr4u86yW3C71RvboAtT2C1at3hU,91688.3739947075,3.2156816166022044,13,21,28512.88931134559,-117983.79375596889
2HqPaB7uVdyrRdbrryPQVPrkCDFxFkChUPSD7M1TiYWP,68123.4817685648,0.926687950448141,23,66,73512.86021968957,-141636.34194974124
GM7Hrz2bDq33ezMtL6KGidSWZXMWgZ6qBuugkb5H8NvN,66259.38468077523,43.81855764080565,2,38,1512.130664453267,-63364.341632426076
Co3QuNgxBj4JhTZ844gx12VVpMjmYoxV3W12NpyFVhsU,63905.803482345655,5.728469850287233,6,79,11155.824356680752,-63858.69558349477
5Se1QkGw5k6ifbyaZxvTdpDAfxPCdRsmNGGr4K8GyE3j,52125.58435910094,0.5905088706012178,62,66,88272.31385369376,-140397.89821519173
EcJWNtETrzdbj8s2dXpaE4Tu4r7fxALD6TNw9H8S6ksz,48967.531622821225,17.250493206211534,4,45,2838.6163246155224,-51806.14794740338
HJG3AZxDCUBcn3dzWyuuUQFGb2sGPiNxzZH5dGEPR9k6,48499.48630067646,0.5372985154543325,41,43,90265.43886812331,-136113.15883639123
Azk3av8dBhJ2a6JEzkSZ8G8f4bu9HWToiPekeTBmonke,47300.570299303465,38.003096816268524,2,36,1244.6504169906184,-47946.58654038077
ZRRBU3mDip7wCoaq9Z9Zg6aD4XAE21kCbB12u3EYJ55,84885.61936298694,37.11375029835736,15,151,2287.1743944115487,-48255.52617951932
8aDrz3hoMsLGFzLJ9TAXpDgL3vwxLat5gmUgFE66RA71,45879.04715805267,17.074581280987672,2,4,2686.9793409890763,-48566.026501934604
7oAJ7pSiDZ5Rc2Rki2Pa2TKC3P5X7zhF1zvMsGXT37E2,45059.414050509804,13.672905969332295,2,91,3295.5257756892365,-48354.93982475352
F1iTFVHNhjt6dsLik1gwyNjU3fNSnQL886WYSG6Jxg8K,41474.3361341976,2.4910176476093895,7,25,16649.555322901946,-58123.891449449344
7kwA56U8yA3L17qaPyC8RAu5gEHWGdRVRQG4NWmHRWYv,38208.35618799089,2.817320797756252,8,35,13561.94730057737,-51746.335306141315
GqW1j5aDgM7o2Q4PxZUmE3tVpPDT95asBdeZhjetK2GD,36532.52905436806,2.797644823902958,10,13,13058.315602551007,-49590.844654995824
JD1dHSqYkrXvqUVL8s6gzL1yB7kpYymsHfwsGxgwp55h,33208.255595241855,0.14324654026478364,799,382,231825.88238332426,-150948.73647695084
FLzPDsoV2LyErTSag77AMLNZ7yE878pahiDADxTkx7ss,33075.665410651694,0.5010217900018045,20,30,66016.42098347173,-89276.32717779999
BaRF9v3Fqu1NZ68WTwRGTwbALPuuhm9kjn6ubtNQX1Sn,55015.461620036804,15.611530150699734,4,4,3524.0275033239404,-34173.57716086024
215nhcAHjQQGgwpQSJQ7zR26etbjjtVdW74NLzwEgQjP,29928.720497569746,15.805154254407658,2,17,1893.6050870381973,-31822.325594917646
5fodUk3wFtKYmDCGLHw6RWySjDvriE9krNtJMAJaLbu5,29005.94253777972,0.4786431468674803,34,21,60600.35065290606,-89557.02432710599
2H9b5E9E963yPfczaPzVmFwz5mvGtBUeh9VXKWQ549Dc,56057.53471515355,3.8584903309398966,18,27,14528.359515546173,-32884.2228645037
HBx663Nb81zC4nMw82MRozB5Xz79X3uFzW3gbJTJLLuh,28375.709176070704,5.354625647089514,3,27,5299.289071962335,-33674.99823892738
3A3bk5FuccJTTmYuvXg63fwGmsKYywazQYrF2ueaL6Jm,46924.78312227134,0.9212546719981817,7,7,50935.73422047618,-53342.80774546643
2Dr7TyDcwRBo6JvWMUXPn6Sb9R2JN3Z2tvbXT311wDHE,41561.419708067755,8.334427485718132,6,116,4986.715617753873,-31175.45891602644
