Wallet,Total Profit,Total PnL,Buys,Sells,Buy,Sell
GFvS5GHS19q5bxtQA73aoYWzg1zz2Sw4Jmfd9JQEk6Ew,47980.57313245046,13.291688725586171,3,4,3609.8176930737964,-51590.39082552426
uzCU4DRN6Eqscq7SoZhNLw13sGxbu8wNZcMrrbenYR1,37362.02305248218,8.954894977473387,3,22,4172.245810416398,-41534.26887419025
9HE1RypKhYhnFfZDqibMYwmLneQ8NUUQKNwQHTNELn1d,36722.568146389356,0.6642288923281934,83,78,55286.01446057672,-72448.7540416618
55koSyXvxU3TdNEJs45MuUvmdi33eHPwitVdmp24XJUb,34194.56343603341,1.6277679986583287,15,31,21007.025242060252,-55201.58868102473
BfMEnmHEkPYpHS5sMxh7P1gn5tyPdNpvZWCSpnpJcX1v,33245.18514976422,9.462438159073248,4,6,3513.384667976552,-36758.569817740776
CBaM2xaPdDdhaopd8dD93LJAvextJoPngdKFz8QFP7JD,31854.470669824022,2.4261460260536953,10,9,13129.659273492973,-44984.129940801824
83xvzqALiHGiEmVWpbWob38aeHzxHGcDoK3PWczJaPUJ,31625.153252897428,14.544509487350423,4,62,2174.3705609599483,-33799.52381422884
euJgoiLPD6WxdMJCzS39DTo8bxtds97d1XRDrzF52Uw,30470.637289739538,1.8466957714776517,21,58,16500.085049395093,-45016.219795360965
6ZLZt3Mkvpr6YpbWUVusR7gqPbhGVSaA4thBs5NtH2YF,30008.65980133957,16.19346625371535,2,28,1853.133809103689,-54767.12833595745
EhTFZYNngX9ivQCKv9WsAAnBUPpedYsfW3e1hpvuvTHq,29392.190316515076,4.114490141648127,10,47,7143.580201833112,-36535.77051829359
5p58ukCpCiMD8SKBZX6dVRJMqH6CkNzXXm66ye8y1chS,26905.873744140754,14.735744130554977,2,3,1825.8917571967522,-28731.765506719606
Cogv5PSB1sPp5j9zxm73kd7RJsEo2Hf3e1TfUmXCfXku,26531.57903508059,9.500378885362231,12,53,2792.686413376554,-29324.265448174134
4RyoEkX1mYN44t8JSKg5bUsgzmLFJfg3jpr2yrEaTTrm,26177.13409935414,3.741526983456017,12,5,6996.377205109595,-32639.842459600317
2HqPaB7uVdyrRdbrryPQVPrkCDFxFkChUPSD7M1TiYWP,25631.294450244823,1.3013240598389775,7,64,19696.319495865137,-45327.61394938685
Ehqd8q5rAN8V7Y7EGxYm3Tp4KPQMTVWQtzjSSPP3Upg3,25511.330789257136,1.2868657816975466,14,39,19824.39128624922,-45335.722078381645
FvkhuKswxTmatKRHVc4dJXFjJK2GrSQyn7BJeo8vT1XK,25175.300148360693,2.722992515077547,10,38,9245.453305127332,-34036.34008449802
HifJWuPGNahRu8jkx73mgnVHq3vaBryeE4kkrtfGPPFJ,22597.288394511765,5.601571555599212,30,62,4034.0979616557775,-26631.386358531607
ChLceRwpVe99erJHnAvuMs6kyoAkb3sZsi1HYBPP7qqY,21047.391224029594,4.437383939556024,3,4,4743.198134470073,-25790.589358092107
3xRT22ed5V6gKkR16hcL2H5GEBMu15givEH14ZsTsv8j,20404.990480996257,3.125617804621757,6,13,6528.306324216612,-26933.296807358256
rp8ntGS7P2k3faTvsRSWxQLa3B68DetNbwe1GHLiTUK,18128.777448345034,1.3363442187708354,6,13,13565.948947659472,-31694.726397132265
EYbyFVHuL695QXgoGP1GpT9H6xbZN77DtkHwh79Ukv4X,17121.008569020527,0.3965113701035938,7,2,43179.111268732195,-60300.11983666137
9SkBXVd7egJTDdD4AGgKHUPCGADXoqxq5tbF3Efh5cNQ,15693.54506120853,5.213777207260475,5,17,3010.01451296277,-18703.559573747003
HHG2C8k6e9FtJKr5SDuc2W7M2UhWi5Ew4aLcsKYaqmLe,15346.306245500708,3.671865860743616,7,84,4179.429975797868,-19525.736221163483
