Wallet,Total Profit,Total PnL,Buys,Sells,Buy,Sell
5ZZnqunFJZr7QgL6ciFGJtbdy35GoVkvv672JTWhVgET,387795.9632427938,1.0562362025919063,21,24,367148.9031441814,-574839.2619367721
JDZMmYxbrDTwvF2wTbYebHzLaJ2te5Xo3gastgUbH87Y,496896.2107809384,0.7178556969652363,594,582,692195.1206650403,-772511.3316407801
FEuhRFJNWZtppyxco4pLxnoJ7KwiSTSGuTmRwT7rMoLT,309366.92368209275,282.27515251589324,3,49,1095.9764645408318,-198403.19627781998
FvkhuKswxTmatKRHVc4dJXFjJK2GrSQyn7BJeo8vT1XK,168949.6949162327,2.9387840160650787,49,82,57489.660346815814,-192391.06646074203
2YtEyeUqKWfQhRBrbxaC5h9cmtq2kLCT96pF1Av2Qsm6,180444.03589255887,4.1950291010907215,45,213,43013.77452796283,-174206.22319906866
7Z5VhcNSpMpaTVqRg8QTkySw6syfcTehTx8CqRPvf9bg,132757.73394706848,8.55018526185225,8,15,15526.883907344578,-174197.1321568084
CtDAdfuagH7hLfotVPokFLG4GKTcpanm1WHQDauZb9aB,938496.1011758391,8.352395094008722,16,22,112362.51286161428,-204346.93415838951
6ZGmBhuegbfxTKvSmNffA5AfRiGxXqD2hf6GrDs21Upy,113963.63776921193,0.8921668627184114,25,6,127738.03032985042,-241701.6680966699
2Kh1Vg4Hmp6h1pfacMV7KveibJwQ7DkiLMgxCzXH1Jby,166253.53025867918,1.6514320247043384,47,37,100672.34241048712,-163432.2421659675
6qAVyZwxPxAuK3xXWxuWqx3U34NBrsF8BThw2sXKDPbg,138727.99481127245,1.4275915540806234,22,26,97176.25073833813,-155232.50952227146
EPdFwvhhk8nfJJdPF3TejkQYnqfDuS2fWmGXg3C95rau,107421.36823180788,3.1932590692009803,58,12,33640.04169529751,-140725.00950774646
8izbNTyeNcBtKMezjKd16QjbSkF76vb1FvgoNHRH4134,170411.5996328602,0.6192190265105963,95,56,275204.0753546581,-161488.41624476365
Bp6qqPxAzLiYpyjZnSCbj2q65Dumngt3rShp9xMDy1gF,141160.61422361174,10.638181110544041,5,17,13269.243375044658,-115952.05537856936
5go7USiPKAQi4eMpqurCj5Tjmi5nz3EqKupsaGEfRYeb,99205.60183701274,21.748957679384386,5,27,4561.395690748376,-318561.43501310307
56ZHLtxCsjuxQcoRwGJawi3ho4N6HQLAWM4e7v55Tgp6,96128.61577218673,2.7800470505943773,3,16,34578.05354468167,-130706.66931461287
9yYya3F5EJoLnBNKW6z4bZvyQytMXzDcpU5D6yYr4jqL,95820.98570312178,1.8600165189970823,27,234,51516.201455451745,-147337.18716938805
CSiZG5sBsNDgLmbEH54hfLNAn3f3JXVsTqU1LzZTD3KX,90780.99334732576,0.21316993101045936,106,39,425862.0947007367,-236348.8138312148
2vbYQRSdBKkv3oNB8JJaqi7KLXvBVo5R7kaapFN8ddfy,89542.65085984682,21.506832791704703,5,6,4163.451296017138,-91783.20568419641
GaYUHLvPvXHcuEFN7JstsNDLJDrQLjdRtUuTLXREtARD,98257.53264688056,0.6830277253202256,31,42,143855.84801966016,-228402.74498908786
Gzpve2XYYMV4pJgC55JREPv4gRjLwssVCU3hLjkfLbgQ,375992.17225718265,13.346360133399099,13,4,28171.88870216884,-96341.63842750987
ANZYXJXYGTfg6mNYcpQ2T96zCLipfWBbWHn2NC9HS6YR,115213.34616494674,9.463493347496279,14,44,12174.504903670515,-94078.35235403407
A55pAgn8FzaYRY9hnGdZJ2VyYAiZZENE5kpiseP275N8,77660.12666254828,1.971986312824848,23,96,39381.676311587085,-117041.80297707205
CL6xgzKveReWgALVLEZ3V4TKBrowZLpFvsGc6zydZx9i,97291.26126669519,11.964573475554468,14,45,8131.611332863369,-80494.16717297814
DYvdFauyqZVvXs4xsZt9MdPewhS3j177EoeJ4FR5aKqs,70202.77943764973,1.59677953543773,29,15,43965.22993915051,-95870.59655635653
Dzuctu1ptMSgT7BHhYP6qyFxFp25eU8mJ2S2R5fPWA99,69049.34216603127,435.4692425702905,2,10,158.56307499119367,-69183.24927955167
BAynbmAoH4JWGQw5KWdtJY2YZsYMNHiVC8SAvdX3jVvp,123593.90994415335,1.8900657338768454,25,14,65391.32884581812,-105486.5186994
4UX5dg34PQhGi1JqCRxSrv11bCUd9z5UvgDFXzjqCVT9,134270.8244018295,15.326282609848665,3,7,8760.821382449722,-71625.56207252941
HWKNVtsaDD9T9wfdENbxvLtKt4pxjwD8RtvGj83AYNCH,63432.204136477776,14.964506840310014,7,30,4238.84360596568,-67671.04774544758
62NrCURunr1N1VVed3Tm6xi4A5zp39p1VvZ6Sqiw99W6,59258.031149694754,3.580186349194642,13,27,16551.66110641832,-69910.56300741802
35MXsTDjGpQoRnfJXj9zXzmsg1mbhF1C8a9UUKD6nBBw,86904.1601346409,0.8909293625145719,40,35,97543.26638125535,-99470.08493340241
4mUyPphCvMcNqJet2GaJMHCEZmTk1rEmcmB7gP4MNDTm,53773.927092602156,0.30713905110087225,48,36,175080.07171299568,-228853.99880784308
2bJULkwx4b8yNak9cvdLfyVNtSvPanoFNPiHEjvJpmdt,111441.57934094674,8.48822012455898,21,44,13128.969054244088,-63005.997931062295
5Se1QkGw5k6ifbyaZxvTdpDAfxPCdRsmNGGr4K8GyE3j,51271.801817289546,0.2518358456848598,80,100,203592.15217300568,-227132.34067493796
6ruqEocByFM5wUtc2kbA2j2ctG78RtunHmedKjjSrNDw,50704.68882740458,5.558976110514997,8,9,9121.228049801275,-57236.926885
9rmEneN7qei61rnyTTCaR45u9Dunx21cUuPi5A2NBNiP,49916.45868611405,0.3987928916955074,130,160,125168.87769460806,-225781.98096296628
84pfNwyt9QDZnmtSJXvtDJGR5exBGPN5fzZhEih37ggW,47111.365310239,0.18636541840666163,84,75,252790.27468196326,-299901.63999964483
28ky64F4Cf51ukT7qfNhKzkNnN9h9zwpJEbqbyZuE6qz,46549.308377092406,1.5034323880333538,29,20,30962.023132935,-79294.54498398102
B4uYFiQfXUjeorvMyyz1neCYqGucxZ1cUMmup5gumqgy,46070.5135955162,0.9238934540522672,4,4,49865.61317589968,-95936.1267848463
5ALMMPiGevz5d2ZMFQySwnSDT3gyAegxGFNzh5mNuq4T,44953.236569890025,1.3489540782062341,11,18,33324.5121506778,-78277.74871812966
9X36MBHhoouoBNTpV8fx2U1NXxR6hWv1xt6m4rADirB7,44293.90866527106,0.8197943109707732,21,37,54030.51481635642,-98324.42347738375
32W6Lz3yUKkKUd7s2z58WCxCTXnMhsQV8t7G3XyDWK9Y,181253.4136840162,0.982285159324792,127,69,184522.19496893047,-183864.59963026008
3xmkUot1MV5GUiUpgstspczN33YrAiK5JhBURX2FCvxp,80945.82319984285,1.8967335472706768,45,52,42676.433554054354,-77413.51498500907
3PbBu4cTAh5Gs9yBY84aSb9eCdVoPiVbzmCVPiUudCtd,63521.24305120627,0.6655111053664989,30,22,95447.30739876225,-87913.88945168503
6JJdhkhk2fsxJcv5f2pEfrkMfHDe6bJSWT6JF2pUXGAK,42055.22416550325,0.41246885142774015,207,166,101959.7577366902,-103297.75178521319
FKw5nbPTEY11BZeWgigZW3V2m5h7qtMRm2qPTyazFEzc,41809.007490297605,0.17216365669973804,144,10,242844.560180402,-131247.6052078
CuS7rWKhcFqVeN358acsrjk2f4EQx2yKUHi9H6Ks9GeM,51952.14375614003,1.1341389310756425,12,2,45807.56583928167,-44622.5741019
2GPNEjXkd4xaHebQahqcAN2SgA5mn4FhYSdmne6CFHis,39425.1438423578,0.5396314181872799,55,22,73059.39297380799,-109651.02597661057
BD44fnriyYY9C3Yhb4KkFrQvZtq7FwpzTY1cuxR2UHKt,71964.09630455902,2.2938522460107387,4,4,31372.594477134477,-64728.11791175224
2kLz4ThY4ZUQtv5F4h3uxznKYs7eSXuz3UPjgtHhTieb,104026.28195331295,655.0447225467294,1,7,158.80790787668997,-38900.29844443236
5vXThqbbJbkzdNoBxEs3L167FTYmNe7ZXqMdSvhYo8f1,38422.3745371628,0.16481012902680905,68,48,233131.14772765437,-271553.5222547371
